Color,URL
"Tuscan, Spice",https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=2089341
Koi_River Blue,https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=2089921
Lemon Wash_Hydrangea_Tiki Pink_Black_White_Gulf Stream_Blue Macaw_Collegiate Navy,https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=1547181
Crushed Blue,https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=1011652
"Curry, Poppy Red_Black, Canyon Sun",https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=2103871
"Dusty Crimson, Nocturnal Logo_Glaze Green, White Logo_Pear, Cypress Logo_Lemon Wash, Blue Echo Logo_Gulf Stream, Black Logo",https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=1388263
Stone Green_Delta_Collegiate Navy_Black,https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=2104691
"Black, New Moon",https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=1424692
"Tusk, Quarry",https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=2063472
Alpenglow_Razzle,https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=2144451
Safari_Nocturnal,https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=2086371
"Tuscan, Koi, Spice_Ripple Blue, Coll Navy, Mountain Blue_Stone Green, Columbia Grey, Dark Stone_Black, Columbia Grey, City Grey",https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=2115971
"Safari, Greenscape",https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=2085291
Black_Canoe_Stone Green_Collegiate Navy,https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=2119191
River Blue Diamond Dobby Chambray_Sand Dune Diamond Dobby Chambray_Ripple Blue Diamond Dobby Chambray,https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=1990801
Teal_Alpenglow_Collegiate Navy_Ancient Fossil,https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=2118241
Dark Stone Heather_Stone Green Heather_Dark Mountain Heather_Tuscan Heather_Columbia Grey Heather,https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=2120701
Blue Echo_Pear,https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=2120851
Collegiate Navy Tropicfield_Black_Cypress Tropicfield,https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=1654781
Hot Coral_Collegiate Navy_Razzle,https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=2089931
"Safari, Dark Stone_Spray, Teal_Pink Sand, Alpenglow",https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=2085451
"Ripple Blue, Mountain Blue Slub_Black, Black Slub_Safari, Stone Green Slub_Tuscan, Spice Slub",https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=2090102
"Vapor, Granite Purple",https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=2100121
"Black, Titanium II",https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=2079061
"Dusty Crimson, Nocturnal Logo_Glaze Green, White Logo_Pear, Cypress Logo_Blue Echo, White Logo_Lavender Pearl, Black Logo",https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=1536171
"Espresso II, Warp Red",https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=2100911
Cirrus Grey_Tiki Pink Undertow_Spray Undertow_Vivid Blue_Black,https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=2093211
City Grey,https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=2078471
River Blue,https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=2116291
Razzle_Spray_Alpenglow_Nocturnal,https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=1802201
White_Glaze Green_Blue Echo_Carbon,https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=2069181
Lemon Wash_Glaze Green_Pear_Blue Echo,https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=1577052
"Grill Heather, Cool Grey_White, Dusty Crimson, Carbon, USA Flag_Cool Grey Heather, Black",https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=1503971
Dark Stone_Black,https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=2072071
Nocturnal_Moonvista_Rain Forest_City Grey_Shale Purple_Ripple Blue_White_River Blue_Dark Stone_Black_Canoe_Snowdrift,https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=1955442
River Blue_Mountain Blue_Razzle_Ripple Blue_Black_Collegiate Navy_Mountain Red_Koi_Azul,https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=1768831
Daredevil_Black_Safari,https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=1933601
"Dove, Stratus_Pond, Black",https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=2063431
Canoe_Collegiate Navy_Black_Stone Green,https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=2119171
Camel Brown,https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=2086391
Black_Cool Grey_Cypress_Fossil_Collegiate Navy,https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=2120911
Stone Green,https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=2090453
Snowdrift Timberwild Print_Moonvista Timberwild Print,https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=2105141
Lemon Wash_Pear_Blue Echo_Key West,https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=1286064
"Mountain Blue Outerbounds, Ripple Blue_Spray Outerbounds, Paisley Purple_Satin Pink Outerbounds, Hot Coral",https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=2115901
"Spice, Dark Stone_River Blue, Canoe_Collegiate Navy, Delta_Dark Mountain",https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=1837101
"Stratus, Desert Orange",https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=2078961
Moonvista_River Blue_Nocturnal,https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=2103412
Alpenglow,https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=2086981
"Sea Salt Outbacked, Canoe_Lemon Wash Rays, Lemon Wash_Spray Rays, River Blue_Eraser Pink Deco, Eraser Pink",https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=2116331
Collegiate Navy_Alpenglow_Teal_Razzle,https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=2118191
Lemon Wash_White_Alpenglow_Spray,https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=2119771
Stone Green_City Grey_Ripple Blue,https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=2123321
Safari,https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=1510631
Fig Deserted_Safari Deserted_Dark Stone Deserted_Teal Deserted,https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=2033355
"Canvas Tan, Delta_Slate Grey, Beach_Carbon, Beach_Vivid Blue, Delta",https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=2108541
"City Grey, Cool Grey",https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=2096211
"Black, Rose Metallic_Dark Stone, Granite Purple",https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=2109481
Dusty Crimson_Lemon Wash_Red Spark,https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=1011653
Clematis Blue_Razzle_Teal_Nocturnal_Alpenglow,https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=2114801
Dark Stone_Ripple Blue_River Blue_Black,https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=2118631
Collegiate Navy,https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=2086001
Dark Stone_Black_Nocturnal_Daredevil,https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=2144371
Stone Green_Collegiate Navy_Black,https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=2119321
Black_Alpenglow,https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=2116282
"Collegiate Navy, Red Spark Logo_Lemon Wash, Summer Orange Logo_Summer Orange, Blue Echo Logo_Red Spark_Key West, Vivid Blue Logo",https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=1541251
"Delta, Black_Columbia Grey, City Grey",https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=2089342
Blue Echo_Key West_Dusty Crimson_Glaze Green_Cool Grey_Bright Nectar_Iron,https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=2078861
"Flint Grey, New Moon_Black, Stratus",https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=2079161
Clematis Blue_Nocturnal_Black_Alpenglow,https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=2119611
Everblue_Rain Forest_Charcoal Heather_Black_Collegiate Navy,https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=2001731
Ancient Fossil_Stone Green_Black,https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=2122101
"Ancient Fossil, Shark_Gulf Stream, Shark_Sorbet, Shark_Cool Grey, Vivid Blue_Black, Gulf Stream_Vivid Blue, Cool Grey_Collegiate Navy, Cool Grey_Red Spark, Collegiate Navy",https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=2113721
Gulf Stream_Lavender Pearl_Blue Echo_Summer Orange_Glaze Green_Pear_Red Spark,https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=2093901
Tuscan Heather_Stone Green Heather_Dark Stone Heather_Columbia Grey Heather,https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=2120691
"Black, Dark Stone_Black, Ti Grey Steel_Wet Sand, Safari_Velvet Cove, Black",https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=1889551
Blue Echo Wild Caught_Nocturnal Fly Pride_Faded Peach Marlin Chase_Spray Marlin Chase_Cypress Freshfish_White Majestic Catch,https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=1438981
"Flint Grey, New Moon",https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=2079162
Glaze Green_Blue Echo_Lemon Wash,https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=1577054
Safari_Alpenglow,https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=1819792
"Columbia Grey Heather, Black, Flag_Canteen, Black, Fun with Flags_Collegiate Navy",https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=1495921
"Black, Light Sand_Greenscape, Red Quartz_Kettle, Black",https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=2099731
"Steam, White_White, Ocean Blue",https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=2041001
Camel Brown_Collegiate Navy_Black,https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=2116431
Tiki Pink_Cypress_Lemon Wash_Hydrangea_Bluebell_Black,https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=2070271
Black_Canoe,https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=2087623
"Blue Echo, White Logo_Dusty Crimson, Nocturnal Logo_Glaze Green, White Logo_Pear, Cypress Logo_Gulf Stream, Black Logo",https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=1388262
"Tuscan, Spice_Satin Pink, Hot Coral_Ripple Blue, Mountain Blue",https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=2087651
River Blue_Black_Tuscan Heather,https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=2118661
"Spice, Spicy",https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=2087351
Stone Green_River Blue,https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=1738152
Black Popflorid_Clematis Blue Popflorid_Teal Popflorid,https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=2084791
"Sea Salt, Snowdrift_Graphite, Granite Purple_Black, Ti Grey Steel",https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=1826501
Gulf Stream_Red Spark,https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=1011622
"Chalk, White",https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=2113902
"Ti Grey Steel, Wild Fuchsia",https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=2108261
Cool Green_Mars_Black,https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=2119381
Delta,https://www.columbia.com/on/demandware.store/Sites-Columbia_US-Site/en_US/Product-Variation?pid=2116101
