Price,UPC,Quantity,Source
$24.99,'035051524212,,https://shop.mgae.com/collections/all-1/products/bratz-goin-out-doll-jade
$24.99,'035051592372,,https://shop.mgae.com/collections/all-1/products/bratz-series-3-doll-koby
$20.99,'035051578499,,https://shop.mgae.com/collections/all-1/products/rainbow-high-secret-journal
$24.99,'035051526780,27,https://shop.mgae.com/collections/all-1/products/rainbow-high-hair-play-doll-amaya
$24.99,'035051553694,,https://shop.mgae.com/collections/all-1/products/mgas-miniverse-make-it-mini-honeydukes%E2%84%A2-harry-potter%E2%84%A2-mini-collectables-2-pack
$24.99,'035051526797,,https://shop.mgae.com/collections/all-1/products/rainbow-high-hair-play-doll-meline
$24.99,'035051565628,,https://shop.mgae.com/collections/all-1/products/rainbow-high-jr-high-rock-band-skyler-blue-9-fashion-doll-1
$24.99,'035051565215,,https://shop.mgae.com/collections/all-1/products/rainbow-high-jr-high-rock-band-skyler-blue-9-fashion-doll
$24.99,'035051565659,,https://shop.mgae.com/collections/all-1/products/rainbow-high-jr-high-rock-band-amaya-rainbow-9-fashion-doll
$24.99,'035051565772,,https://shop.mgae.com/collections/all-1/products/rainbow-high-jr-high-rock-band-bella-pink-9-fashion-doll
$24.99,'035051542568,,https://shop.mgae.com/collections/all-1/products/lol-surprise-tweens-core-doll-fancy-gurl
$24.99,'035051542575,,https://shop.mgae.com/collections/all-1/products/lol-surprise-tweens-core-doll-cherry-b-b
$24.99,'035051591511,,https://shop.mgae.com/collections/all-1/products/lol-surprise-omg-core-series-8-wildflower
$24.99,'035051542582,,https://shop.mgae.com/collections/all-1/products/lol-surprise-tweens-core-doll-freshest
$24.99,'035051542872,,https://shop.mgae.com/collections/all-1/products/lol-surprise-omg-powerpuff-girls-doll-buttercup
$24.99,'035051542827,,https://shop.mgae.com/collections/all-1/products/lol-surprise-omg-powerpuff-girls-doll-blossom
$24.99,'035051524229,,https://shop.mgae.com/collections/all-1/products/bratz-goin-out-doll-sasha
$24.99,'035051559412,,https://shop.mgae.com/collections/all-1/products/lol-surprise-tweens-core-doll-olive-flutter
$25.00,',,https://shop.mgae.com/collections/all-1/products/l-o-l-surprise-store-gift-card-choose-amount
$25.00,'035051989189,36,https://shop.mgae.com/collections/all-1/products/white-t-shirt-sunny-day
$24.99,'035051542926,,https://shop.mgae.com/collections/all-1/products/lol-surprise-omg-powerpuff-girls-doll-bubbles
$25.00,'035051989301,43,https://shop.mgae.com/collections/all-1/products/cream-t-shirt-ichi-ni-sun
$25.00,'035051989240,38,https://shop.mgae.com/collections/all-1/products/white-t-shirt-sunny-bros-pizza
$24.99,'035051501923,,https://shop.mgae.com/collections/all-1/products/rainbow-high-new-friends-fashion-doll-pinkly-paige-pink
