Keyword,Price,Promo,Source Link
H03474,150,,https://www.adidas.com/us/campus-00s-shoes/H03474.html
HQ8708,150,,https://www.adidas.com/us/campus-00s-shoes/HQ8708.html
HQ8707,150,,https://www.adidas.com/us/campus-00s-shoes/HQ8707.html
IF8770,150,,https://www.adidas.com/us/campus-00s-shoes/IF8770.html
JQ8349,150,,https://www.adidas.com/us/campus-00s-shoes/JQ8349.html
JR7287,150,,https://www.adidas.com/us/campus-00s-shoes/JR7287.html
JQ8355,150,,https://www.adidas.com/us/campus-00s-shoes/JQ8355.html
JQ8356,150,,https://www.adidas.com/us/campus-00s-shoes/JQ8356.html
JQ8357,150,,https://www.adidas.com/us/campus-00s-shoes/JQ8357.html
JQ8354,150,,https://www.adidas.com/us/campus-00s-shoes/JQ8354.html
JP6903,150,,https://www.adidas.com/us/campus-00s-shoes/JP6903.html
JS3798,150,,https://www.adidas.com/us/campus-00s-shoes/JS3798.html
JR1646,150,,https://www.adidas.com/us/campus-00s-shoes/JR1646.html
JR1647,150,,https://www.adidas.com/us/campus-00s-shoes/JR1647.html
JQ6340,150,,https://www.adidas.com/us/campus-00s-shoes/JQ6340.html
JS3775,150,,https://www.adidas.com/us/campus-00s-shoes/JS3775.html
JS3776,150,,https://www.adidas.com/us/campus-00s-shoes/JS3776.html
JS3777,150,,https://www.adidas.com/us/campus-00s-shoes/JS3777.html
JQ6339,150,,https://www.adidas.com/us/campus-00s-shoes/JQ6339.html
JS3786,150,,https://www.adidas.com/us/campus-00s-shoes/JS3786.html
JH8997,150,,https://www.adidas.com/us/campus-00s-shoes/JH8997.html
GY6433,150,,https://www.adidas.com/us/campus-00s-shoes/GY6433.html
JH8794,150,,https://www.adidas.com/us/campus-00s-shoes/JH8794.html
JH8791,150,,https://www.adidas.com/us/campus-00s-shoes/JH8791.html
JH8790,150,,https://www.adidas.com/us/campus-00s-shoes/JH8790.html
JH7605,150,,https://www.adidas.com/us/campus-00s-shoes/JH7605.html
ID1435,150,,https://www.adidas.com/us/campus-00s-shoes/ID1435.html
IM4511,56,Extra 30% off with CODE: SUMMER,https://www.adidas.com/us/adicolor-classics-heritage-track-jacket/IM4511.html
IP0418,56,Extra 30% off with CODE: SUMMER,https://www.adidas.com/us/adicolor-classics-heritage-track-jacket/IP0418.html
KA0840,56,Extra 30% off with CODE: SUMMER,https://www.adidas.com/us/adicolor-classics-heritage-track-jacket/KA0840.html
JY1278,56,Extra 30% off with CODE: SUMMER,https://www.adidas.com/us/adicolor-classics-heritage-track-jacket/JY1278.html
JY1281,56,Extra 30% off with CODE: SUMMER,https://www.adidas.com/us/adicolor-classics-heritage-track-jacket/JY1281.html
JY1280,56,Extra 30% off with CODE: SUMMER,https://www.adidas.com/us/adicolor-classics-heritage-track-jacket/JY1280.html
IZ4801,64,,https://www.adidas.com/us/adicolor-baggy-fit-firebird-track-pants/IZ4801.html
IZ2471,64,,https://www.adidas.com/us/adicolor-baggy-fit-firebird-track-pants/IZ2471.html
IE8684,70,Extra 30% off with CODE: SUMMER,https://www.adidas.com/us/lite-racer-adapt-7.0-wide-shoes/IE8684.html
JS0035,70,Extra 30% off with CODE: SUMMER,https://www.adidas.com/us/lite-racer-adapt-7.0-wide-shoes/JS0035.html
JS0034,70,Extra 30% off with CODE: SUMMER,https://www.adidas.com/us/lite-racer-adapt-7.0-wide-shoes/JS0034.html
IE6336,70,Extra 30% off with CODE: SUMMER,https://www.adidas.com/us/lite-racer-adapt-7.0-wide-shoes/IE6336.html
JX1457,130,,https://www.adidas.com/us/adidas-equipment-reflective-embroidery-crew/JX1457.html
JV7646,130,,https://www.adidas.com/us/adidas-equipment-reflective-embroidery-crew/JV7646.html
JR3678,140,Extra 30% off with CODE: SUMMER,https://www.adidas.com/us/megaride-o1-shoes/JR3678.html
JR3671,140,Extra 30% off with CODE: SUMMER,https://www.adidas.com/us/megaride-o1-shoes/JR3671.html
JH5520,140,Extra 30% off with CODE: SUMMER,https://www.adidas.com/us/megaride-o1-shoes/JH5520.html
JR6937,140,Extra 30% off with CODE: SUMMER,https://www.adidas.com/us/megaride-o1-shoes/JR6937.html
IC6978,25,Extra 30% off with CODE: SUMMER,https://www.adidas.com/us/train-essentials-woven-training-shorts/IC6978.html
IC6977,25,Extra 30% off with CODE: SUMMER,https://www.adidas.com/us/train-essentials-woven-training-shorts/IC6977.html
IC6976,25,Extra 30% off with CODE: SUMMER,https://www.adidas.com/us/train-essentials-woven-training-shorts/IC6976.html
