Barcode,Cost,ADJ,Source,Tag
'198553144071,$39.99,$31.99,https://www.shopwss.com/products/313016_02?variant=41411071082551,eligible-discount
'198553144132,$39.99,$31.99,https://www.shopwss.com/products/313016_02?variant=41411071115319,eligible-discount
'198553144149,$39.99,$31.99,https://www.shopwss.com/products/313016_02?variant=41411071148087,eligible-discount
'198553144088,$39.99,$31.99,https://www.shopwss.com/products/313016_02?variant=41411071180855,eligible-discount
'198553144095,$39.99,$31.99,https://www.shopwss.com/products/313016_02?variant=41411071213623,eligible-discount
'198553144156,$39.99,$31.99,https://www.shopwss.com/products/313016_02?variant=41411071246391,eligible-discount
'198553144101,$39.99,$31.99,https://www.shopwss.com/products/313016_02?variant=41411071279159,eligible-discount
'198553144163,$39.99,$31.99,https://www.shopwss.com/products/313016_02?variant=41411071311927,eligible-discount
'198553144118,$39.99,$31.99,https://www.shopwss.com/products/313016_02?variant=41411071344695,eligible-discount
'198553144170,$39.99,$31.99,https://www.shopwss.com/products/313016_02?variant=41411071377463,eligible-discount
'198553144125,$39.99,$31.99,https://www.shopwss.com/products/313016_02?variant=41411071410231,eligible-discount
'198553144187,$39.99,$31.99,https://www.shopwss.com/products/313016_02?variant=41411071442999,eligible-discount
'197863568522,$47.99,$38.39,https://www.shopwss.com/products/hf6280_001?variant=41415387185207,eligible-discount
'197863539072,$47.99,$38.39,https://www.shopwss.com/products/hf6280_001?variant=41415387217975,eligible-discount
'197863514208,$47.99,$38.39,https://www.shopwss.com/products/hf6280_001?variant=41415387250743,eligible-discount
'197863486215,$47.99,$38.39,https://www.shopwss.com/products/hf6280_001?variant=41415387283511,eligible-discount
'197863484037,$47.99,$38.39,https://www.shopwss.com/products/hf6280_001?variant=41415387316279,eligible-discount
'197863566290,$47.99,$38.39,https://www.shopwss.com/products/hf6280_001?variant=41415387349047,eligible-discount
'198485539082,$39.99,$31.99,https://www.shopwss.com/products/if2893_002?variant=41417260433463,eligible-discount
'198485511347,$39.99,$31.99,https://www.shopwss.com/products/if2893_002?variant=41417260466231,eligible-discount
'198485472662,$39.99,$31.99,https://www.shopwss.com/products/if2893_002?variant=41417260498999,eligible-discount
'198485508989,$39.99,$31.99,https://www.shopwss.com/products/if2893_002?variant=41417260531767,eligible-discount
'198485494411,$39.99,$31.99,https://www.shopwss.com/products/if2893_002?variant=41417260564535,eligible-discount
'198485472792,$39.99,$31.99,https://www.shopwss.com/products/if2893_002?variant=41417260597303,eligible-discount
'198485521094,$39.99,$31.99,https://www.shopwss.com/products/if2893_002?variant=41417260630071,eligible-discount
'198485518759,$39.99,$31.99,https://www.shopwss.com/products/if2893_002?variant=41417260662839,eligible-discount
'198555331912,$31.99,$25.59,https://www.shopwss.com/products/403935_01?variant=41418474389559,eligible-discount
'198555331882,$31.99,$25.59,https://www.shopwss.com/products/403935_01?variant=41418474422327,eligible-discount
'198555331929,$31.99,$25.59,https://www.shopwss.com/products/403935_01?variant=41418474455095,eligible-discount
'198555331905,$31.99,$25.59,https://www.shopwss.com/products/403935_01?variant=41418474487863,eligible-discount
'198555331943,$31.99,$25.59,https://www.shopwss.com/products/403935_01?variant=41418474520631,eligible-discount
'198555331899,$31.99,$25.59,https://www.shopwss.com/products/403935_01?variant=41418474553399,eligible-discount
'198555331936,$31.99,$25.59,https://www.shopwss.com/products/403935_01?variant=41418474586167,eligible-discount
'198581859909,$38.39,$30.71,https://www.shopwss.com/products/60659241?variant=41103150252087,eligible-discount
'198581859893,$38.39,$30.71,https://www.shopwss.com/products/60659240?variant=41103150284855,eligible-discount
'198553867840,$24.00,$19.20,https://www.shopwss.com/products/8471402?variant=41316224565303,eligible-discount
'198739881066,$29.59,$23.67,https://www.shopwss.com/products/314621n_pkmt?variant=41392185180215,eligible-discount
'198739881059,$29.59,$23.67,https://www.shopwss.com/products/314621n_pkmt?variant=41392185212983,eligible-discount
'198739881042,$29.59,$23.67,https://www.shopwss.com/products/314621n_pkmt?variant=41392185245751,eligible-discount
'198739881073,$29.59,$23.67,https://www.shopwss.com/products/314621n_pkmt?variant=41392185278519,eligible-discount
'198739881080,$29.59,$23.67,https://www.shopwss.com/products/314621n_pkmt?variant=41392185311287,eligible-discount
'198739881097,$29.59,$23.67,https://www.shopwss.com/products/314621n_pkmt?variant=41392185344055,eligible-discount
'197626499780,$51.99,$41.59,https://www.shopwss.com/products/js5037?variant=41423497822263,eligible-discount
'197626499735,$51.99,$41.59,https://www.shopwss.com/products/js5037?variant=41423497855031,eligible-discount
'197626499728,$51.99,$41.59,https://www.shopwss.com/products/js5037?variant=41423497887799,eligible-discount
'197626499797,$51.99,$41.59,https://www.shopwss.com/products/js5037?variant=41423497920567,eligible-discount
'197626499759,$51.99,$41.59,https://www.shopwss.com/products/js5037?variant=41423497953335,eligible-discount
'197626496086,$51.99,$41.59,https://www.shopwss.com/products/js5037?variant=41423497986103,eligible-discount
'197626499711,$51.99,$41.59,https://www.shopwss.com/products/js5037?variant=41423498018871,eligible-discount
'197626499773,$51.99,$41.59,https://www.shopwss.com/products/js5037?variant=41423498051639,eligible-discount
'197626499803,$51.99,$41.59,https://www.shopwss.com/products/js5037?variant=41423498084407,eligible-discount
'197626499742,$51.99,$41.59,https://www.shopwss.com/products/js5037?variant=41423498117175,eligible-discount
'197298624589,$55.99,$44.79,https://www.shopwss.com/products/1011b882_022?variant=41407134269495,eligible-discount
'197298624572,$55.99,$44.79,https://www.shopwss.com/products/1011b882_022?variant=41407134302263,eligible-discount
'197298624619,$55.99,$44.79,https://www.shopwss.com/products/1011b882_022?variant=41407134335031,eligible-discount
'197298624558,$55.99,$44.79,https://www.shopwss.com/products/1011b882_022?variant=41407134367799,eligible-discount
'197298624640,$55.99,$44.79,https://www.shopwss.com/products/1011b882_022?variant=41407134400567,eligible-discount
'197298624510,$55.99,$44.79,https://www.shopwss.com/products/1011b882_022?variant=41407134433335,eligible-discount
'197298624664,$55.99,$44.79,https://www.shopwss.com/products/1011b882_022?variant=41407134466103,eligible-discount
'197298624541,$55.99,$44.79,https://www.shopwss.com/products/1011b882_022?variant=41407134498871,eligible-discount
'197298624657,$55.99,$44.79,https://www.shopwss.com/products/1011b882_022?variant=41407134531639,eligible-discount
'197298624602,$55.99,$44.79,https://www.shopwss.com/products/1011b882_022?variant=41407134564407,eligible-discount
'197298624527,$55.99,$44.79,https://www.shopwss.com/products/1011b882_022?variant=41407134597175,eligible-discount
'197298624565,$55.99,$44.79,https://www.shopwss.com/products/1011b882_022?variant=41407134629943,eligible-discount
'400000125251,$31.99,$25.59,https://www.shopwss.com/products/100250356?variant=41427481264183,eligible-discount
'400000125268,$31.99,$25.59,https://www.shopwss.com/products/100250356?variant=41427481296951,eligible-discount
'400000125275,$31.99,$25.59,https://www.shopwss.com/products/100250356?variant=41427481329719,eligible-discount
'400000125282,$31.99,$25.59,https://www.shopwss.com/products/100250356?variant=41427481362487,eligible-discount
'400000125299,$31.99,$25.59,https://www.shopwss.com/products/100250356?variant=41427481395255,eligible-discount
'400000125305,$31.99,$25.59,https://www.shopwss.com/products/100250356?variant=41427481428023,eligible-discount
'400000125312,$31.99,$25.59,https://www.shopwss.com/products/100250356?variant=41427481460791,eligible-discount
'400000125329,$31.99,$25.59,https://www.shopwss.com/products/100250356?variant=41427481493559,eligible-discount
'400000125336,$31.99,$25.59,https://www.shopwss.com/products/100250356?variant=41427481526327,eligible-discount
'400000125343,$31.99,$25.59,https://www.shopwss.com/products/100250356?variant=41427481559095,eligible-discount
'191533000183,$31.99,$25.59,https://www.shopwss.com/products/100038888?variant=41427630817335,eligible-discount
'191533000152,$31.99,$25.59,https://www.shopwss.com/products/100038888?variant=41427630850103,eligible-discount
'191533000022,$31.99,$25.59,https://www.shopwss.com/products/100038888?variant=41427630882871,eligible-discount
'191533000015,$31.99,$25.59,https://www.shopwss.com/products/100038888?variant=41427630915639,eligible-discount
'191533000107,$31.99,$25.59,https://www.shopwss.com/products/100038888?variant=41427630948407,eligible-discount
'191533000176,$31.99,$25.59,https://www.shopwss.com/products/100038888?variant=41427630981175,eligible-discount
'191533000039,$31.99,$25.59,https://www.shopwss.com/products/100038888?variant=41427631013943,eligible-discount
'191533000060,$31.99,$25.59,https://www.shopwss.com/products/100038888?variant=41427631046711,eligible-discount
'191533000053,$31.99,$25.59,https://www.shopwss.com/products/100038888y?variant=41427631079479,eligible-discount
'191533000145,$31.99,$25.59,https://www.shopwss.com/products/100038888y?variant=41427631112247,eligible-discount
'191533000169,$31.99,$25.59,https://www.shopwss.com/products/100038888y?variant=41427631145015,eligible-discount
'191533000138,$31.99,$25.59,https://www.shopwss.com/products/100038888y?variant=41427631177783,eligible-discount
'191533000091,$31.99,$25.59,https://www.shopwss.com/products/100038888y?variant=41427631210551,eligible-discount
'191533000121,$31.99,$25.59,https://www.shopwss.com/products/100038888y?variant=41427631243319,eligible-discount
'888254159077,$24.00,$19.20,https://www.shopwss.com/products/gc1261?variant=41468858105911,eligible-discount
'197627156217,$59.99,$47.99,https://www.shopwss.com/products/183004_blk?variant=41482578329655,eligible-discount
'197627156224,$59.99,$47.99,https://www.shopwss.com/products/183004_blk?variant=41482578362423,eligible-discount
'197627156231,$59.99,$47.99,https://www.shopwss.com/products/183004_blk?variant=41482578395191,eligible-discount
