API URLs,Original URLs
https://www.michaels.com/api/product/v2/sub-skus?source=pdpPage&orginSkuNumber=D620636S&michaelsStoreId=9055&isNewUIMkpMik=false&skuNumbers=D620636S,https://www.michaels.com/product/royal-langnickel-essentials-26-piece-drawing-artist-pack-D620636S
https://www.michaels.com/api/product/v2/sub-skus?source=pdpPage&orginSkuNumber=10712830&michaelsStoreId=9055&isNewUIMkpMik=false&skuNumbers=10712830,https://www.michaels.com/product/posca-pc5m-medium-tip-earth-tones-paint-marker-set-10712830?michaelsStore=5804&inv=8
https://www.michaels.com/api/product/v2/sub-skus?source=pdpPage&orginSkuNumber=D724573S&michaelsStoreId=9055&isNewUIMkpMik=false&skuNumbers=D724573S,https://www.michaels.com/product/art-advantage-12color-soft-and-extra-fine-dual-brush-pens-set-D724573S
https://www.michaels.com/api/product/v2/sub-skus?source=pdpPage&orginSkuNumber=10128145&michaelsStoreId=9055&isNewUIMkpMik=false&skuNumbers=10128145,https://www.michaels.com/product/necessities-sketching-pad-by-artists-loft-9-x-12-10128145?michaelsStore=5804&inv=6
https://www.michaels.com/api/product/v2/sub-skus?source=pdpPage&orginSkuNumber=10485698&michaelsStoreId=9055&isNewUIMkpMik=false&skuNumbers=10485698,https://www.michaels.com/product/paper-mate-inkjoy-07mm-10-color-retractable-gel-pen-set-10485698?michaelsStore=5804&inv=2
https://www.michaels.com/api/product/v2/sub-skus?source=pdpPage&orginSkuNumber=10022435&michaelsStoreId=9055&isNewUIMkpMik=false&skuNumbers=10022435,https://www.michaels.com/product/prismacolor-premier-watercolor-pencil-24-color-tin-10022435?michaelsStore=5804&inv=1
https://www.michaels.com/api/product/v2/sub-skus?source=pdpPage&orginSkuNumber=10023633&michaelsStoreId=9055&isNewUIMkpMik=false&skuNumbers=10023633,https://www.michaels.com/product/gelly-roll-classic-08-medium-point-gel-pen-10-color-set-10023633?michaelsStore=5804&inv=1
https://www.michaels.com/api/product/v2/sub-skus?source=pdpPage&orginSkuNumber=10128141&michaelsStoreId=9055&isNewUIMkpMik=false&skuNumbers=10128141,https://www.michaels.com/product/necessities-watercolor-pad-by-artists-loft-9-x-12-10128141?michaelsStore=5804&inv=2
https://www.michaels.com/api/product/v2/sub-skus?source=pdpPage&orginSkuNumber=D669432S&michaelsStoreId=9055&isNewUIMkpMik=false&skuNumbers=D669432S,https://www.michaels.com/product/goldfaber-woman-dual-ended-aqua-markers-18ct-D669432S
https://www.michaels.com/api/product/v2/sub-skus?source=pdpPage&orginSkuNumber=10670844&michaelsStoreId=9055&isNewUIMkpMik=false&skuNumbers=10670844,https://www.michaels.com/product/mystic-gems-sharpie-fine-point-permanent-markers-12ct-10670844?michaelsStore=5804&inv=6
