upc,price,variation,source_url
'197674836520,50,Platinum Gray-Silver Mist-Cool Mid Gray,https://us.puma.com/us/en/pd/Inverse-Premium-Women's-Sneakers/401756?swatch=02
'197674836704,100,Peaceful Blue-Modern Mint-Green Moon,https://us.puma.com/us/en/pd/Inverse-Premium-Women's-Sneakers/401756?swatch=03
'198551093869,27.5,PUMA Black,https://us.puma.com/us/en/pd/Train-Favorite-Blaster-Men's-Tight-Training-Pants/527706?swatch=01
'198555423327,27.5,Dark Olive,https://us.puma.com/us/en/pd/Train-Favorite-Blaster-Men's-Tight-Training-Pants/527706?swatch=07
'198551093920,27.5,Stormy Slate,https://us.puma.com/us/en/pd/Train-Favorite-Blaster-Men's-Tight-Training-Pants/527706?swatch=13
'198551099502,27.5,Desert Dust,https://us.puma.com/us/en/pd/Train-Favorite-Blaster-Men's-Tight-Training-Pants/527706?swatch=68
'198555455236,10.99,PUMA Black,https://us.puma.com/us/en/pd/Graphic-Varsity-Tee-Women/691951?swatch=01
'198555455137,10.99,PUMA White,https://us.puma.com/us/en/pd/Graphic-Varsity-Tee-Women/691951?swatch=02
'198555455038,10.99,Poised Pink,https://us.puma.com/us/en/pd/Graphic-Varsity-Tee-Women/691951?swatch=65
'198555455182,10.99,Lux Army,https://us.puma.com/us/en/pd/Graphic-Varsity-Tee-Women/691951?swatch=82
'198555455083,10.99,Berry,https://us.puma.com/us/en/pd/Graphic-Varsity-Tee-Women/691951?swatch=89
'197673969373,35,Rose Quartz-Frosted Ivory-Gum,https://us.puma.com/us/en/pd/Puma-Turino-II-Women/403041?swatch=12
'198551555664,35,Haute Tropic-PUMA Pink-Gum,https://us.puma.com/us/en/pd/Puma-Turino-II-Women/403041?swatch=19
'198555492804,35,PUMA White-Sea Glass-Sea Glass,https://us.puma.com/us/en/pd/Puma-Turino-II-Women/403041?swatch=24
'197673410035,25,PUMA Black,https://us.puma.com/us/en/pd/Essentials-No.-1-Logo-Women's-Crew-Sweater/682412?swatch=01
'197673410110,25,PUMA White,https://us.puma.com/us/en/pd/Essentials-No.-1-Logo-Women's-Crew-Sweater/682412?swatch=02
'197673409954,25,Light Gray Heather,https://us.puma.com/us/en/pd/Essentials-No.-1-Logo-Women's-Crew-Sweater/682412?swatch=04
'197671291711,42.5,PUMA Black,https://us.puma.com/us/en/pd/EVOSTRIPE-Full-Zip-Men's-Hoodie/681700?swatch=01
'197671047066,29.99,Galactic Gray,https://us.puma.com/us/en/pd/EVOSTRIPE-Full-Zip-Men's-Hoodie/681700?swatch=69
'197674191063,22.5,Pistachio Green-AOP,"https://us.puma.com/us/en/pd/DARE-TO-Women's-All-Over-Print-3""-Tights/629831?swatch=37"
'197674190936,22.5,Cool Weather-AOP,"https://us.puma.com/us/en/pd/DARE-TO-Women's-All-Over-Print-3""-Tights/629831?swatch=47"
'197670973069,41.99,PUMA White-Bluemazing,https://us.puma.com/us/en/pd/KING-Pro-Men's-Quarter-zip-Top/658348?swatch=08
'197674125655,35,New Navy-Dark Crimson,https://us.puma.com/us/en/pd/KING-Pro-Men's-Quarter-zip-Top/658348?swatch=12
'197672203843,30,PUMA White-Fizzy Apple,https://us.puma.com/us/en/pd/SOFTRIDE-Carson-ML-Men's-Sneakers/311272?swatch=01
'197671779011,35.99,Desert Dust-Dark Olive,https://us.puma.com/us/en/pd/SOFTRIDE-Carson-ML-Men's-Sneakers/311272?swatch=02
'197673542071,12.5,PUMA White,https://us.puma.com/us/en/pd/PUMA-x-HELLO-KITTY®-AND-FRIENDS-Little-Kids'-Relaxed-Graphic-Tee/630062?swatch=02
'197673542231,12.5,Pink Fruit,https://us.puma.com/us/en/pd/PUMA-x-HELLO-KITTY®-AND-FRIENDS-Little-Kids'-Relaxed-Graphic-Tee/630062?swatch=18
'194578683038,30,Puma White-Puma White-Gray Violet-Puma Team Gold,https://us.puma.com/us/en/pd/Shuffle-Big-Kids'-Sneakers/375688?swatch=01
'194578679208,30.99,Puma White-Puma Black-Puma Team Gold,https://us.puma.com/us/en/pd/Shuffle-Big-Kids'-Sneakers/375688?swatch=02
'195098495071,30,Puma Black-Puma Black-Puma Silver,https://us.puma.com/us/en/pd/Shuffle-Big-Kids'-Sneakers/375688?swatch=06
'194577158551,29.99,Puma Black-Puma White,https://us.puma.com/us/en/pd/Star-Vital-Men's-Training-Shoes/194323?swatch=01
'194577158315,45.99,High Rise-Nrgy Blue,https://us.puma.com/us/en/pd/Star-Vital-Men's-Training-Shoes/194323?swatch=02
'195101043176,44.99,Puma White-Mineral Blue,https://us.puma.com/us/en/pd/Star-Vital-Men's-Training-Shoes/194323?swatch=17
'195551578433,32.5,Evening Sky-Puma White,https://us.puma.com/us/en/pd/Star-Vital-Men's-Training-Shoes/194323?swatch=20
'197671871852,35,Glacial Gray-Flame Flicker,https://us.puma.com/us/en/pd/Star-Vital-Men's-Training-Shoes/194323?swatch=25
'197674290483,20,Green Moon,https://us.puma.com/us/en/pd/SUPER-PUMA-Big-Kids'-Woven-Shorts/629867?swatch=30
'197674291015,20,Alpine Snow,https://us.puma.com/us/en/pd/SUPER-PUMA-Big-Kids'-Woven-Shorts/629867?swatch=87
'195099746776,22.5,Chalk Pink,https://us.puma.com/us/en/pd/Power-Colour-Blocked-Youth-Pants/849072?swatch=16
'197670566612,42.5,Mauve Mist-PUMA White,https://us.puma.com/us/en/pd/Suede-XL-Lace-Women's-Sneakers/398310?swatch=02
'197673695678,32.5,PUMA Black,https://us.puma.com/us/en/pd/HER-Women's-Comfort-High-Waist-Pants/685061?swatch=01
'197673695739,24.99,Warm Beige,https://us.puma.com/us/en/pd/HER-Women's-Comfort-High-Waist-Pants/685061?swatch=63
'197673695852,32.5,Alpine Snow,https://us.puma.com/us/en/pd/HER-Women's-Comfort-High-Waist-Pants/685061?swatch=87
'198553440043,32.5,PUMA Black,https://us.puma.com/us/en/pd/Evostripe-Comfort-Short-Crew-Women/688142?swatch=01
'198553432857,32.5,Lux Army,https://us.puma.com/us/en/pd/Evostripe-Comfort-Short-Crew-Women/688142?swatch=82
'197673653463,32.5,Red Fire,https://us.puma.com/us/en/pd/ROAD-TO-UNITY-Women's-Sweatpants/629793?swatch=15
'197673616048,19.99,New Navy,https://us.puma.com/us/en/pd/ROAD-TO-UNITY-Women's-Sweatpants/629793?swatch=16
'197670570596,45,PUMA Black-PUMA White,https://us.puma.com/us/en/pd/Roma-24-Standard-Toddlers'-Sneakers/399011?swatch=01
'197670304450,45,PUMA Black,https://us.puma.com/us/en/pd/Roma-24-Standard-Toddlers'-Sneakers/399011?swatch=02
'197670370547,45,PUMA White,https://us.puma.com/us/en/pd/Roma-24-Standard-Toddlers'-Sneakers/399011?swatch=03
'197673164754,45,PUMA Navy-PUMA White,https://us.puma.com/us/en/pd/Roma-24-Standard-Toddlers'-Sneakers/399011?swatch=16
'197673163733,22.5,PUMA White-For All Time Red,https://us.puma.com/us/en/pd/Roma-24-Standard-Toddlers'-Sneakers/399011?swatch=17
'198551950995,45,For All Time Red-PUMA White,https://us.puma.com/us/en/pd/Roma-24-Standard-Toddlers'-Sneakers/399011?swatch=24
'198551951084,45,PUMA White-Orange Glo,https://us.puma.com/us/en/pd/Roma-24-Standard-Toddlers'-Sneakers/399011?swatch=25
'197673493953,20,PUMA Black,"https://us.puma.com/us/en/pd/Essentials-Elevated-Women's-5""-Mid-Rise-Shorts/685020?swatch=01"
'197674812081,20,PUMA White,"https://us.puma.com/us/en/pd/Essentials-Elevated-Women's-5""-Mid-Rise-Shorts/685020?swatch=02"
