Price,Quantity,UPC,Promo,Source
$13.99,4729,400865342565,,https://www.kohls.com/product/prd-6520605/womens-tek-gear-essential-short-sleeve-tunic-tee.jsp?skuid=86534256
$13.99,4033,400865342688,,https://www.kohls.com/product/prd-6520605/womens-tek-gear-essential-short-sleeve-tunic-tee.jsp?skuid=86534268
$13.99,6163,400865342626,,https://www.kohls.com/product/prd-6520605/womens-tek-gear-essential-short-sleeve-tunic-tee.jsp?skuid=86534262
$10.79,1,400708969218,,https://www.kohls.com/product/prd-6520605/womens-tek-gear-essential-short-sleeve-tunic-tee.jsp?skuid=70896921
$13.99,130,400503563420,,https://www.kohls.com/product/prd-6520605/womens-tek-gear-essential-short-sleeve-tunic-tee.jsp?skuid=50356342
$13.99,63,400561069834,,https://www.kohls.com/product/prd-6520605/womens-tek-gear-essential-short-sleeve-tunic-tee.jsp?skuid=56106983
$13.99,568,400674977637,,https://www.kohls.com/product/prd-6520605/womens-tek-gear-essential-short-sleeve-tunic-tee.jsp?skuid=67497763
$13.99,252,400502592360,,https://www.kohls.com/product/prd-6520605/womens-tek-gear-essential-short-sleeve-tunic-tee.jsp?skuid=50259236
$13.99,5098,400865342572,,https://www.kohls.com/product/prd-6520605/womens-tek-gear-essential-short-sleeve-tunic-tee.jsp?skuid=86534257
$13.99,4168,400865342695,,https://www.kohls.com/product/prd-6520605/womens-tek-gear-essential-short-sleeve-tunic-tee.jsp?skuid=86534269
$13.99,5361,400865342633,,https://www.kohls.com/product/prd-6520605/womens-tek-gear-essential-short-sleeve-tunic-tee.jsp?skuid=86534263
$13.99,207,400503563437,,https://www.kohls.com/product/prd-6520605/womens-tek-gear-essential-short-sleeve-tunic-tee.jsp?skuid=50356343
$13.99,1023,400561069841,,https://www.kohls.com/product/prd-6520605/womens-tek-gear-essential-short-sleeve-tunic-tee.jsp?skuid=56106984
$13.99,598,400674977446,,https://www.kohls.com/product/prd-6520605/womens-tek-gear-essential-short-sleeve-tunic-tee.jsp?skuid=67497744
$13.99,734,400674977644,,https://www.kohls.com/product/prd-6520605/womens-tek-gear-essential-short-sleeve-tunic-tee.jsp?skuid=67497764
$13.99,349,400502592377,,https://www.kohls.com/product/prd-6520605/womens-tek-gear-essential-short-sleeve-tunic-tee.jsp?skuid=50259237
$13.99,3915,400865342589,,https://www.kohls.com/product/prd-6520605/womens-tek-gear-essential-short-sleeve-tunic-tee.jsp?skuid=86534258
$13.99,3076,400865342701,,https://www.kohls.com/product/prd-6520605/womens-tek-gear-essential-short-sleeve-tunic-tee.jsp?skuid=86534270
$13.99,6049,400865342640,,https://www.kohls.com/product/prd-6520605/womens-tek-gear-essential-short-sleeve-tunic-tee.jsp?skuid=86534264
$13.99,229,400503563444,,https://www.kohls.com/product/prd-6520605/womens-tek-gear-essential-short-sleeve-tunic-tee.jsp?skuid=50356344
$13.99,145,400561069858,,https://www.kohls.com/product/prd-6520605/womens-tek-gear-essential-short-sleeve-tunic-tee.jsp?skuid=56106985
$13.99,319,400674977453,,https://www.kohls.com/product/prd-6520605/womens-tek-gear-essential-short-sleeve-tunic-tee.jsp?skuid=67497745
$13.99,477,400674977651,,https://www.kohls.com/product/prd-6520605/womens-tek-gear-essential-short-sleeve-tunic-tee.jsp?skuid=67497765
$13.99,1,400674977552,,https://www.kohls.com/product/prd-6520605/womens-tek-gear-essential-short-sleeve-tunic-tee.jsp?skuid=67497755
$13.99,302,400502592384,,https://www.kohls.com/product/prd-6520605/womens-tek-gear-essential-short-sleeve-tunic-tee.jsp?skuid=50259238
$13.99,1873,400865342596,,https://www.kohls.com/product/prd-6520605/womens-tek-gear-essential-short-sleeve-tunic-tee.jsp?skuid=86534259
$13.99,1552,400865342718,,https://www.kohls.com/product/prd-6520605/womens-tek-gear-essential-short-sleeve-tunic-tee.jsp?skuid=86534271
$13.99,2377,400865342657,,https://www.kohls.com/product/prd-6520605/womens-tek-gear-essential-short-sleeve-tunic-tee.jsp?skuid=86534265
$13.99,151,400503563451,,https://www.kohls.com/product/prd-6520605/womens-tek-gear-essential-short-sleeve-tunic-tee.jsp?skuid=50356345
$13.99,91,400561069865,,https://www.kohls.com/product/prd-6520605/womens-tek-gear-essential-short-sleeve-tunic-tee.jsp?skuid=56106986
$10.79,1,400674977866,,https://www.kohls.com/product/prd-6520605/womens-tek-gear-essential-short-sleeve-tunic-tee.jsp?skuid=67497786
$13.99,151,400502592391,,https://www.kohls.com/product/prd-6520605/womens-tek-gear-essential-short-sleeve-tunic-tee.jsp?skuid=50259239
