"UPC","Title","ASIN","Sales Rank 180","Price 180","New Count Offer 180","Monthly Sold","Buy Box 180"
"032167700042","B'laster 16-SL Industrial Strength Silicone Lubricant - 11-Ounces","B0019LV3GO","8502.0","49.41","16.0","100","6.93"
"719346077514","Evyan Women's Perfume, White Shoulders, Eau De Cologne EDC Spray, 4.5 fl oz","B001RVIXGY","17976.0","48.0","16.0","1000","20.31"
"748616965176","It's A 10 Miracle Moisture Shampoo 33.8 Oz & Daily Conditioner 33.8 Oz Duo.","B004PCJW7G","16829.0","106.0","19.0","1000","56.74"
"755332336272","It's a 10 Ten Miracle Silk Express DUO: Shampoo 33.8 Oz & Conditioner 17.5 Oz","B017AHD1GA","33788.0","72.11","16.0","100","63.66"
"300960735081","DHS Zinc Shampoo, 8 Fl Oz","B000G017TC","17136.0","23.81","15.0","1000","15.96"
"075549210739","Blitz Gem & Jewelry Cleaner Liquid Concentrate for Gold, Silver, Platinum Jewelry Cleans Non-Porous, Precious & Semi-Precious Stones Non-Toxic, Non-Abrasive, Planet Friendly Made in USA 8oz (2 Pack)","B00725MAG8","7210.0","17.44","19.0","2000","12.50"
"606746111828","DMSO Gel with Aloe Vera, 4 Ounce","B00016QZ0C","13687.0","22.5","18.0","1000","21.11"
"633911795316","Biosilk Silk Therapy with Natural Coconut Oil Leave-In Treatment, Helps Control Frizz & Flyaways, Sulfate, Paraben & Cruelty-Free, 5.64 Oz","B077Z55D97","13590.0","34.14","19.0","1000","18.56"
"714924022610","Jamaican Mango & Lime Black Castor Oil With Coconut, 4 oz (Pack of 2)","B01BV3GL8Y","36208.0","24.99","16.0","100","15.66"
"646786491436","SEM 49143 Trim Black Ultra, Black Spray Paint with Satin Finish| Designed for Plastic, Aluminum, Steel and Stainless Steel, 14.5 oz. Automotive Aerosol Paint Can","B07NDM9SPB","14732.0","20.69","15.0","400","23.85"
"018812000040","Seafoam SFSS Combo Pack Of Motor Treatment 16oz","B07YZT2DNW","14521.0","27.68","16.0","500","25.92"
"767644381925","Formula 420 Glass Metal Ceramic Pipe Cleaner, 12 Fl Oz (Pack of 4)","B00O5E3XI8","16848.0","44.95","18.0","1000","22.29"
"736578511135","Armaf Club De Nuit Intense for Men Eau de Parfum Spray, 6.8 Ounce / 200 ml","B08ZGFX7RF","19533.0","56.1","18.0","1000","45.11"
"734366021125","Tobacco Outlet Products Smoke Odor Exterminator 7oz Large Spray, Hippie Love, 7 Ounce","B00X45CTV6","21928.0","19.89","15.0","1000","9.55"
"074312171390","Nature's Bounty CoQ10, Supports Heart Health, Dietary Supplement, 200mg, 80 Rapid Release Softgels","B002Q1CGAS","17827.0","48.27","18.0","1000","23.49"
"041689193058","Zippo All-in-One Kit with Street Chrome Windproof Lighter","B001JTS50I","13381.0","25.47","17.0","800","20.56"
"074405099051","Spot Shot Professional Carpet Stain Remover - 3/18 oz.","B005067SAE","17618.0","35.99","20.0","1000","28.32"
"823638043306","Eminence Organic Skincare Mangosteen Daily Resurfacing Cleanser, 4.2 Ounce","B07DPGRT75","18347.0","60.0","17.0","1000","29.86"
"737052339047","Gucci Guilty Eau De Toilette Spray for Men, 3.0 Ounce","B00AIZS1KI","21204.0","119.0","16.0","800","65.75"
"810021205076","Dr Teal's Foaming Bath Variety Gift Set (2 Pack, 34oz ea.) - Soothe & Sleep Lavender & Relax & Relief Eucalyptus & Spearmint - Pure Epsom Salt & Essential Oils Alleviate Stress & Clear The Mind","B08T6KDGN4","18602.0","34.99","17.0","800","18.83"
"650905684661","Odense Almond Paste - 3 Pack Value Bundle","B00L1IB928","20638.0","17.78","18.0","300","17.52"
