ASIN,Title,Cost,List,Profit,ROI,Offer,Rank,# Sold,30/90 BB,30/90 Profit,Rating,T Rating,%,Return,BB/SUP,CPT,CPT Profit,CPT ROI,Amz,Amz OOS,Tags,Source,Amazon
B00BJ65OZU,"Lugz Men's Fringe Boot, Wheat/cream/gum, 9 D US",$39.99,$59.99,$5.63,14%,3,"50,088",,$46.94,$-5.46,58,"5,866",1%,,BB,,,,$ 59.99,0 %,"$20 TO $40, -employee, Boots, BROWN, eligible-discount, eligible-discount-clearance, eligible-discount-employee, eligible-discount-friends, holiday-sale, Lifestyle, LUGZ, md2-exclusion, Mens, mens-shoes, mens-shoes-big-and-tall, mens-shoes-boots, MFRGD 765",https://www.shopwss.com/products/mfrgd_7651?variant=40942315012151,https://www.amazon.com/dp/B00BJ65OZU?th=1&psc=1
B093QKK57K,"New Balance Men's 574 Core Sneaker, Black/White, 12 Wide",$89.99,$129.99,$12.86,14%,2,"2,739",,$89.91,$-21.21,57,62,92%,,SUP, 89.95,$-21.17,-24%,,57 %,"$80 TO $100, 574, BLACK, classic, eligible-discount, eligible-discount-clearance, eligible-discount-employee, eligible-discount-friends, extra wide, full-price-eligible-discount, md2-exclusion, mens, mens-shoes, mens-shoes-running, ML574EVB 2E, NEW BALANCE",https://www.shopwss.com/products/ml574evb_2e?variant=40942585741367,https://www.amazon.com/dp/B093QKK57K?th=1&psc=1
B0CL11YJWH,"adidas FTWWHT/CBLACK Unisex Samba OG J FTWR whiteCore Black/GUM5 4.5 US, Wide Little_Kid",$79.99,$115.54,$9.30,12%,1,"3,697",,$79.10,$-20.94,56,871,6%,,SUP,,,,,100 %,"$60 TO $80, 7 - 12 yrs, ADIDAS, boys, boys-shoes, boys-shoes-soccer, bts25, classic, eligible-discount, eligible-discount-clearance, eligible-discount-employee, eligible-discount-friends, full-family-holiday-2024, full-price-eligible-discount, IE3675, kids",https://www.shopwss.com/products/ie3675?variant=40943287500855,https://www.amazon.com/dp/B0CL11YJWH?th=1&psc=1
B0CKZ8S7KN,"NIKE Men's Sneaker, Midnight Navy Pure Platinum Bl, 8.5",$49.99,$76.79,$7.48,15%,7,"15,144",,$70.50,$2.13,56,"2,798",2%,,BB,,,,,100 %,"$40 TO $60, BLUE, eligible-discount, eligible-discount-clearance, eligible-discount-employee, eligible-discount-friends, FB2207 400, holiday-sale, md2-exclusion, mens, mens-shoes, mens-shoes-running, NIKE, on-sale, performance, revolution, revolution 7, ru",https://www.shopwss.com/products/fb2207_400?variant=40942887174199,https://www.amazon.com/dp/B0CKZ8S7KN?th=1&psc=1
B0CKZCZ59B,"NIKE Men's Sneaker, Midnight Navy Pure Platinum Bl, 9.5",$49.99,$74.63,$5.65,11%,6,"15,171",,$69.71,$1.46,53,"2,798",2%,,BB,,,,,100 %,"$40 TO $60, BLUE, eligible-discount, eligible-discount-clearance, eligible-discount-employee, eligible-discount-friends, FB2207 400, holiday-sale, md2-exclusion, mens, mens-shoes, mens-shoes-running, NIKE, on-sale, performance, revolution, revolution 7, ru",https://www.shopwss.com/products/fb2207_400?variant=40942887239735,https://www.amazon.com/dp/B0CKZCZ59B?th=1&psc=1
B07BL2PDVY,"New Balance Men's 997H V1 Sneaker, Black/Silver, 13",$69.99,$114.11,$20.79,30%,1,"13,747",,$65.62,$-20.42,47,"5,447",1%,,SUP, 79.98,$-8.22,-12%,,70 %,"$60 TO $80, 997, 997h, BLACK, CM997HCC, eligible-discount, eligible-discount-clearance, eligible-discount-employee, eligible-discount-friends, holiday-sale, lifestyle, md2-exclusion, mens, mens-shoes, mens-shoes-running, NEW BALANCE, on-sale, running",https://www.shopwss.com/products/cm997hcc?variant=40942989606967,https://www.amazon.com/dp/B07BL2PDVY?th=1&psc=1
B07GGMC1PT,adidas Originals Men's Samba OG Sneaker White/Black/Granite 11.5,$99.99,$140.00,$13.59,14%,1,"42,235",,$97.40,$-22.62,47,"2,389",2%,,SUP, 99.99,$-20.42,-20%,,100 %,"$80 TO $100, ADIDAS, B75806, best-sellers-web, bts25, Classic, eligible-discount, eligible-discount-clearance, eligible-discount-employee, eligible-discount-friends, festival2025, for-him-2024, full-family-holiday-2024, full-price-eligible-discount, md2-ex",https://www.shopwss.com/products/b75806?variant=40951163912247,https://www.amazon.com/dp/B07GGMC1PT?th=1&psc=1
B0CKZ98F9H,"NIKE Men's Sneaker, Midnight Navy Pure Platinum Bl, 8",$49.99,$75.89,$6.80,14%,2,"15,159",,$69.67,$1.51,46,"2,783",2%,,BB,,,,,100 %,"$40 TO $60, BLUE, eligible-discount, eligible-discount-clearance, eligible-discount-employee, eligible-discount-friends, FB2207 400, holiday-sale, md2-exclusion, mens, mens-shoes, mens-shoes-running, NIKE, on-sale, performance, revolution, revolution 7, ru",https://www.shopwss.com/products/fb2207_400?variant=40942887141431,https://www.amazon.com/dp/B0CKZ98F9H?th=1&psc=1
B00BJ65OQ4,"Lugz Men's Fringe Boot, Wheat/cream/gum, 8.5 D US",$39.99,$59.99,$4.23,11%,3,"49,970",,$46.93,$-6.87,46,"5,865",1%,,BB,,,,$ 59.99,6 %,"$20 TO $40, -employee, Boots, BROWN, eligible-discount, eligible-discount-clearance, eligible-discount-employee, eligible-discount-friends, holiday-sale, Lifestyle, LUGZ, md2-exclusion, Mens, mens-shoes, mens-shoes-big-and-tall, mens-shoes-boots, MFRGD 765",https://www.shopwss.com/products/mfrgd_7651?variant=40942314979383,https://www.amazon.com/dp/B00BJ65OQ4?th=1&psc=1
B0CKZC2XXD,"NIKE Men's Sneaker, Midnight Navy Pure Platinum Bl, 11",$49.99,$74.95,$6.40,13%,13,"15,161",,$68.97,$1.31,38,"2,798",1%,,BB,,,,,100 %,"$40 TO $60, BLUE, eligible-discount, eligible-discount-clearance, eligible-discount-employee, eligible-discount-friends, FB2207 400, holiday-sale, md2-exclusion, mens, mens-shoes, mens-shoes-running, NIKE, on-sale, performance, revolution, revolution 7, ru",https://www.shopwss.com/products/fb2207_400?variant=40942887338039,https://www.amazon.com/dp/B0CKZC2XXD?th=1&psc=1
